"dpt","name","mapping","mapping-de"
"1.001","DPT_Switch","Off;On","Aus;An"
"1.002","DPT_Bool","False;True","Nein;Ja"
"1.003","DPT_Enable","Enabled;Disabled","Deaktiviert;Aktiviert"
"1.004","DPT_Ramp",,
"1.005","DPT_Alarm",,
"1.006","DPT_BinaryValue","0;1","0;1"
"1.007","DPT_Step",,
"1.008","DPT_UpDown","Up;Down","Oben;Unten"
"1.009","DPT_OpenClose","Open;Closed","Offen;Geschlossen"
"1.010","DPT_Start",,
"1.011","DPT_State",,
"1.012","DPT_Invert",,
"1.013","DPT_DimSendStyle",,
"1.014","DPT_InputSource",,
"1.015","DPT_Reset",,
"1.016","DPT_Ack",,
"1.017","DPT_Trigger",,
"1.018","DPT_Occupancy",,
"1.019","DPT_Window_Door","Closed;Open","Geschlossen;Offen"
"1.021","DPT_LogicalFunction",,
"1.022","DPT_Scene_AB",,
"1.023","DPT_ShutterBlinds_Mode",,
"1.100","DPT_Heat/Cool",,
"2.001","DPT_Switch_Control",,
"2.002","DPT_Bool_Control",,
"2.003","DPT_Enable_Control",,
"2.004","DPT_Ramp_Control",,
"2.005","DPT_Alarm_Control",,
"2.006","DPT_BinaryValue_Control",,
"2.007","DPT_Step_Control",,
"2.008","DPT_Direction1_Control",,
"2.009","DPT_Direction2_Control",,
"2.010","DPT_Start_Control",,
"2.011","DPT_State_Control",,
"2.012","DPT_Invert_Control",,
"3.007","DPT_Control_Dimming",,
"3.008","DPT_Control_Blinds",,
"4.001","DPT_Char_ASCII",,
"4.002","DPT_Char_8859_1",,
"5.001","DPT_Scaling","%","%"
"5.003","DPT_Angle","°","°"
"5.004","DPT_Percent_U8","%","%"
"5.005","DPT_DecimalFactor",,
"5.006","DPT_Tariff",,
"5.010","DPT_Value_1_Ucount",,
"6.001","DPT_Percent_V8","%","%"
"6.010","DPT_Value_1_Count",,
"6.020","DPT_Status_Mode3",,
"7.001","DPT_Value_2_Ucount",,
"7.002","DPT_TimePeriodMsec","ms","ms"
"7.003","DPT_TimePeriod10MSec","ms","ms"
"7.004","DPT_TimePeriod100MSec","ms","ms"
"7.005","DPT_TimePeriodSec","s","s"
"7.006","DPT_TimePeriodMin","m","m"
"7.007","DPT_TimePeriodHrs","h","h"
"7.010","DPT_PropDataType",,
"7.011","DPT_Length_mm","mm","mm"
"7.012","DPT_UElCurrentmA","mA","mA"
"7.013","DPT_Brightness","lux","lux"
"8.001","DPT_Value_2_Count",,
"8.002","DPT_DeltaTimeMsec","ms","ms"
"8.003","DPT_DeltaTime10MSec","ms","ms"
"8.004","DPT_DeltaTime100MSec","ms","ms"
"8.005","DPT_DeltaTimeSec","s","s"
"8.006","DPT_DeltaTimeMin","m","m"
"8.007","DPT_DeltaTimeHrs","h","h"
"8.010","DPT_Percent_V16","%","%"
"8.011","DPT_Rotation_Angle","°","°"
"9.001","DPT_Value_Temp","°C","°C"
"9.002","DPT_Value_Tempd","K","K"
"9.003","DPT_Value_Tempa","K/h","K/h"
"9.004","DPT_Value_Lux","lux","lux"
"9.005","DPT_Value_Wsp","m/s","m/s"
"9.006","DPT_Value_Pres","Pa","Pa"
"9.007","DPT_Value_Humidity","%","%"
"9.008","DPT_Value_AirQuality","ppm","ppm"
"9.010","DPT_Value_Time1","s","s"
"9.011","DPT_Value_Time2","ms","ms"
"9.020","DPT_Value_Volt","mV","mV"
"9.021","DPT_Value_Curr","mA","mA"
"9.022","DPT_PowerDensity","W/m²","W/m²"
"9.023","DPT_KelvinPerPercent","K/%","K/%"
"9.024","DPT_Power","kW","kW"
"9.025","DPT_Value_Volume_Flow","l/h","l/h"
"9.026","DPT_Rain_Amount","l/m²","l/m²"
"9.027","DPT_Value_Temp_F","°F","°F"
"9.028","DPT_Value_Wsp_kmh","km/h","km/h"
"10.001","DPT_TimeOfDay",,
"11.001","DPT_Date",,
"12.001","DPT_Value_4_Ucount",,
"13.001","DPT_Value_4_Count",,
"13.010","DPT_ActiveEnergy","Wh","Wh"
"13.011","DPT_ApparantEnergy","VAh","VAh"
"13.012","DPT_ReactiveEnergy","VARh","VARh"
"13.013","DPT_ActiveEnergy_kWh","kWh","kWh"
"13.014","DPT_ApparantEnergy_kVAh","kVAh","kVAh"
"13.015","DPT_ReactiveEnergy_kVARh","kVARh","kVARh"
"13.100","DPT_LongDeltaTimeSec","s","s"
"14.000","DPT_Value_Acceleration","m/s","m/s"
"14.001","DPT_Value_Acceleration_Angular","rad/s","rad/s"
"14.002","DPT_Value_Activation_Energy","J","J"
"14.003","DPT_Value_Activity","sievert","sievert"
"14.004","DPT_Value_Mol","mol","mol"
"14.005","DPT_Value_Amplitude",,
"14.006","DPT_Value_AngleRad","rad","rad"
"14.007","DPT_Value_AngleDeg","°","°"
"14.008","DPT_Value_Angular_Momentum","Js","Js"
"14.009","DPT_Value_Angular_Velocity","rad s","rad s"
"14.010","DPT_Value_Area","m²","m²"
"14.011","DPT_Value_Capacitance","F","F"
"14.012","DPT_Value_Charge_DensitySurface","C/m²","C/m²"
"14.013","DPT_Value_Charge_DensityVolume","C/m³","C/m³"
"14.014","DPT_Value_Compressibility",,
"14.015","DPT_Value_Conductance","Ohm","Ohm"
"14.016","DPT_Value_Electrical_Conductivity",,
"14.017","DPT_Value_Density","kg/m³","kg/m³"
"14.018","DPT_Value_Electric_Charge","C","C"
"14.019","DPT_Value_Electric_Current","A","A"
"14.020","DPT_Value_Electric_CurrentDensity","A/m²","A/m²"
"14.021","DPT_Value_Electric_DipoleMoment",,
"14.022","DPT_Value_Electric_Displacement",,
"14.023","DPT_Value_Electric_FieldStrength",,
"14.024","DPT_Value_Electric_Flux",,
"14.025","DPT_Value_Electric_FluxDensity",,
"14.026","DPT_Value_Electric_Polarization",,
"14.027","DPT_Value_Electric_Potential","V","V"
"14.028","DPT_Value_Electric_PotentialDifference","V","V"
"14.029","DPT_Value_ElectromagneticMoment",,
"14.030","DPT_Value_Electromotive_Force",,
"14.031","DPT_Value_Energy","J","J"
"14.032","DPT_Value_Force","N","N"
"14.033","DPT_Value_Frequency","Hz","Hz"
"14.034","DPT_Value_Angular_Frequency",,
"14.035","DPT_Value_Heat_Capacity",,
"14.036","DPT_Value_Heat_FlowRate","W","W"
"14.037","DPT_Value_Heat_Quantity","J","J"
"14.038","DPT_Value_Impedance","Ohm","Ohm"
"14.039","DPT_Value_Length","m","m"
"14.040","DPT_Value_Light_Quantity","J (lm/s)","J (lm/s)"
"14.041","DPT_Value_Luminance","cd/m²","cd/m²"
"14.042","DPT_Value_Luminous_Flux","lm","lm"
"14.043","DPT_Value_Luminous_Intensity","cd","cd"
"14.044","DPT_Value_Magnetic_FieldStrength",,
"14.045","DPT_Value_Magnetic_Flux","Wb","Wb"
"14.046","DPT_Value_Magnetic_FluxDensity",,
"14.047","DPT_Value_Magnetic_Moment",,
"14.048","DPT_Value_Magnetic_Polarization",,
"14.049","DPT_Value_Magnetization",,
"14.050","DPT_Value_MagnetomotiveForce",,
"14.051","DPT_Value_Mass","kg","kg"
"14.052","DPT_Value_MassFlux","kg/s","kg/s"
"14.053","DPT_Value_Momentum","N/s","N/s"
"14.054","DPT_Value_Phase_AngleRad","rad","rad"
"14.055","DPT_Value_Phase_AngleDeg","°","°"
"14.056","DPT_Value_Power","W","W"
"14.057","DPT_Value_Power_Factor","cos Φ ","cos Φ "
"14.058","DPT_Value_Pressure","Pa","Pa"
"14.059","DPT_Value_Reactance","Ω ","Ω "
"14.060","DPT_Value_Resistance","Ω ","Ω "
"14.061","DPT_Value_Resistivity","Ω/m","Ω/m"
"14.062","DPT_Value_SelfInductance","H","H"
"14.063","DPT_Value_SolidAngle","sr","sr"
"14.064","DPT_Value_Sound_Intensity","W/m²","W/m²"
"14.065","DPT_Value_Speed","m/s","m/s"
"14.066","DPT_Value_Stress","Pa/m²","Pa/m²"
"14.067","DPT_Value_Surface_Tension","Nm","Nm"
"14.068","DPT_Value_Common_Temperature","°C","°C"
"14.069","DPT_Value_Absolute_Temperature","K","K"
"14.070","DPT_Value_TemperatureDifference","K","K"
"14.071","DPT_Value_Thermal_Capacity","JK","JK"
"14.072","DPT_Value_Thermal_Conductivity","W/m²","W/m²"
"14.073","DPT_Value_ThermoelectricPower","V/K","V/K"
"14.074","DPT_Value_Time","s","s"
"14.075","DPT_Value_Torque","Nm","Nm"
"14.076","DPT_Value_Volume","m³","m³"
"14.077","DPT_Value_Volume_Flux","m³/s","m³/s"
"14.078","DPT_Value_Weight","N","N"
"14.079","DPT_Value_Work","J","J"
"15.000","DPT_Access_Data",,
"16.000","DPT_String_ASCII",,
"16.001","DPT_String_8859_1",,
"17.001","DPT_SceneNumber",,
"18.001","DPT_SceneControl",,
"19.001","DPT_DateTime",,
"20.001","DPT_SCLOMode","autonom;slave;master","autonom;slave;master"
"20.002","DPT_BuildingMode","used;notused;protection","used;notused;protection"
"20.003","DPT_OccMode","occupied;standby;not occupied","occupied;standby;not occupied"
"20.004","DPT_Priority","High;Medium;Low;void","High;Medium;Low;void"
"20.005","DPT_LightApplicationMode","Normal;Simulation;Night","Normal;Simulation;Night"
"20.006","DPT_ApplicationArea",,
"20.007","DPT_AlarmClassType","reserved;simple alarm;basic alarm;ext alarm","reserved;simple alarm;basic alarm;ext alarm"
"20.008","DPT_PSUMode","disabled;enabled;auto","disabled;enabled;auto"
"20.011","DPT_ErrorClass_System",,
"20.012","DPT_ErrorClass_HVAC",,
"20.013","DPT_Time_Delay",,
"20.014","DPT_Beaufort_Wind_Force_Scale",,
"20.017","DPT_SensorSelect",,
"20.100","DPT_FuelType",,
"20.101","DPT_BurnerType",,
